備品名,消耗品,家ストック分類,防災対策分類,キャンプ分類,メンテナンス
飲料水,消耗品,,飲料確保,,
洗濯洗剤,消耗品,炊事・洗濯,衛生対策,,
食器洗剤,消耗品,炊事・洗濯,衛生対策,,
うさぎのトイレチップ,消耗品,ペット,衛生対策,,
うさぎのトイレシート,消耗品,ペット,衛生対策,,
携帯トイレ,消耗品,,衛生対策,排便対策,
トイレットペーパー,消耗品,,衛生対策,排便対策,
ティッシュペーパー,消耗品,,衛生対策,排便対策,
一人用テントの簡易トイレ,,,衛生対策,排便対策,
テラスの水タンク,,,衛生対策,下水用の水,
水のいらないシャンプータオル,,,衛生対策,お風呂シャワー,
ドライシャンプー,,,衛生対策,お風呂シャワー,
ギャッツビー,,,衛生対策,お風呂シャワー,
生ゴミ処理機,,,衛生対策,生ゴミ処理,
スポンジ,消耗品,,衛生対策,食器洗い,
たわし,消耗品,,衛生対策,食器洗い,
ふきん,消耗品,,衛生対策,食器洗い,
輪ゴム,消耗品,,衛生対策,食器洗い,
ゴム手袋,消耗品,,衛生対策,食器洗い,
ゴミ箱スタンド,,,衛生対策,ゴミ,
ゴミ袋,消耗品,,衛生対策,ゴミ,
ハンガー,,,衛生対策,衛生用品・医薬品,
物干し用ロープ,,,衛生対策,衛生用品・医薬品,
タオル,消耗品,,衛生対策,衛生用品・医薬品,
バスタオル,消耗品,,衛生対策,衛生用品・医薬品,
歯ブラシ,,,衛生対策,衛生用品・医薬品,
歯磨き粉,,,衛生対策,,
フロス,,,衛生対策,,
石けん,消耗品,お風呂,衛生対策,衛生用品・医薬品,
シャンプー,消耗品,お風呂,衛生対策,,
リンス,消耗品,お風呂,衛生対策,,
ウェットティッシュ,消耗品,衛生,衛生対策,衛生用品・医薬品,
焚き火台,,,ガス対策,焚き火,
火起こし大,,,ガス対策,焚き火,
火起こし小,,,ガス対策,焚き火,
焚き火シート,,,ガス対策,焚き火,
焚き火用ナイフ,,,ガス対策,焚き火,
軍手,,,ガス対策,焚き火,
薪、炭用トング,,,ガス対策,焚き火,
耐火革手袋,,,ガス対策,焚き火,
ガスバーナーSOTO,,,ガス対策,調理用バーナー,
カセットコンロ,,,ガス対策,調理用バーナー,
ガスバーナーレギュレータストーブ,,,ガス対策,調理用バーナー,
マイクロレギュレーターストーブ,,,ガス対策,調理用バーナー,
マイクロトーチ,,,ガス対策,着火,
ガスバーナーボンベタイプ,,,ガス対策,着火,
小型扇風機,,,ガス対策,着火,要充電
カセットガス缶,消耗品,,ガス対策,燃料,
ガス缶（丸）,消耗品,,ガス対策,燃料,
炭,消耗品,,ガス対策,燃料,
薪,消耗品,,ガス対策,燃料,
蚊取り線香,消耗品,虫除け,季節対策,夏対策,
どこでもベープ,消耗品,虫除け,季節対策,夏対策,
虫除けスプレー,消耗品,虫除け,季節対策,夏対策,
携帯扇風機,,,季節対策,夏対策,要充電
ホッカイロ,消耗品,寒さ対策,季節対策,冬対策,
湯たんぽ,,寒さ対策,季節対策,冬対策,
テント　大,,,住居確保,居住環境,
テント　小,,,住居確保,居住環境,
ブルーシート　大,,,住居確保,居住環境,
ブルーシート　小,,,住居確保,居住環境,
銀マット　丸型+折りたたみ,,,住居確保,居住環境,
タープ,,,住居確保,居住環境,
ペグ,,,住居確保,居住環境,
ペグハンマー,,,住居確保,居住環境,
テント小用ポール,,,住居確保,居住環境,
コット,,,住居確保,居住環境,
寝袋,,,住居確保,寝具関連,
寝袋1,,,住居確保,寝具関連,
空気マット,,,住居確保,寝具関連,
グランドシート,,,住居確保,寝具関連,
まくら,,,住居確保,寝具関連,
耳栓,,,住居確保,寝具関連,
アイマスク,,,住居確保,寝具関連,
毛布,,,住居確保,寝具関連,
テーブル（大型）,,,住居確保,食卓,
調理台低いテーブル,,,住居確保,食卓,
焚き火テーブル,,,住居確保,食卓,
ロールテーブル,,,住居確保,食卓,
携帯テーブル,,,住居確保,食卓,
テーブルクロス,,,住居確保,食卓,
コールマンチェアー,,,住居確保,食卓,
イス1,,,住居確保,食卓,
コンパクトチェア,,,住居確保,食卓,
さとうのごはん,消耗品,,食事対策,,
防災おにぎり,消耗品,,食事対策,,
お湯で食べられるごはん,消耗品,,食事対策,,
カップラーメン,消耗品,,食事対策,,
レトルトカレー,消耗品,,食事対策,,
保存食,消耗品,,食事対策,,
カップスープ,消耗品,,食事対策,,
平皿,,,食事対策,食器,
深皿,,,食事対策,食器,
シェラカップ,,,食事対策,食器,
ドリンクカップ,,,食事対策,食器,
スプーン,,,食事対策,食器,
フォーク,,,食事対策,食器,
ナイフ,,,食事対策,食器,
割り箸,,,食事対策,食器,
余った食材入れ　タッパー,,,食事対策,食器,
固形餌,消耗品,ペット,食事対策,,
わら,消耗品,ペット,食事対策,,
ぞうきん,,掃除・洗濯・家事,清掃,居住環境,
ホウキ、ちりとり,,掃除・洗濯・家事,清掃,居住環境,
ハンディ掃除機,,掃除・洗濯・家事,清掃,居住環境,
包丁,,,調理,調理道具,
まな板,,,調理,調理道具,
トング,,,調理,調理道具,
お玉,,,調理,調理道具,
鉄串、串,,,調理,調理道具,
しゃもじ,,,調理,調理道具,
燻製機,,,調理,調理道具,
燻製用チップ,消耗品,,調理,調理道具,
缶切り、栓抜き、コルク抜き,,,調理,調理道具,
ボウル,,,調理,調理道具,
ざる,,,調理,調理道具,
タッパー,,,調理,調理道具,
キッチンペーパー,消耗品,掃除・洗濯・家事,調理,調理道具,
アルミホイール,消耗品,掃除・洗濯・家事,調理,調理道具,
サランラップ,消耗品,掃除・洗濯・家事,調理,調理道具,
ジップロック,消耗品,掃除・洗濯・家事,調理,調理道具,
湯沸かしケトル　折りたたみ,,,調理,調理器具,
ホットサンドメーカー,,,調理,調理器具,
ダッチオーブン,,,調理,調理器具,
マルチグリドル,,,調理,調理器具,
フライパン、スキレット,,,調理,調理器具,
コッヘル,,,調理,調理器具,
メスティン,,,調理,調理器具,
ケトル　金物,,,調理,調理器具,
クーラーボックス　ハード,,,停電対策,食材管理,
クーラーボックス　ソフト,,,停電対策,食材管理,
倍速凍結・氷点下パックM,,,停電対策,食材管理,
コンテナボックス,,,停電対策,食材管理,
ランタン,,,停電対策,照明,要充電
LEDランタン,,,停電対策,照明,要充電
ランタン,,,停電対策,照明,要充電
ヘッドライト,,,停電対策,照明,要充電
ランタンスタンド,,,停電対策,照明,
ランタンハンガー,,,停電対策,照明,
延長ケーブル,,,停電対策,照明,
ネックライト,,,停電対策,照明,
ポータブル電源大,,,停電対策,バッテリー,要充電
ポータブル電源車、自転車用バッテリー,,,停電対策,バッテリー,要充電
スマホの充電バッテリー,,,停電対策,バッテリー,要充電
モバイルバッテリー2,,,停電対策,バッテリー,要充電
モバイルバッテリー3,,,停電対策,バッテリー,要充電
単4,,,停電対策,バッテリー,要充電
単3,,,停電対策,バッテリー,要充電
レインウエア,,,天候,雨対策,
傘,,,天候,雨対策,
長靴,,,天候,雨対策,
キャリーワゴン、台車,,,荷物運搬,荷物運搬,
コロナ検査キット,消耗品,健康管理,体調管理,,
保険証,,健康管理,体調管理,医薬品,
救急セット,,健康管理,体調管理,医薬品,
常備薬,,健康管理,体調管理,,
不足しがちな栄養素,,健康管理,体調管理,,
セデスハイ,,健康管理,体調管理,,
掃除機の替えフィルター,消耗品,掃除・洗濯・家事,,,
