年齢,性別,分類,必要量
1-2,男性,乳類,250
1-2,男性,チーズ,5
1-2,男性,卵類,50
1-2,男性,肉類,20
1-2,男性,魚介類,20
1-2,男性,豆類,35
1-2,男性,野菜類,60
1-2,男性,いも及びでん粉類,50
1-2,男性,きのこ類,50
1-2,男性,藻類,10
1-2,男性,果実類,100
1-2,男性,穀物,120
1-2,女性,乳類,250
1-2,女性,チーズ,5
1-2,女性,卵類,50
1-2,女性,肉類,20
1-2,女性,魚介類,20
1-2,女性,豆類,35
1-2,女性,野菜類,60
1-2,女性,いも及びでん粉類,50
1-2,女性,きのこ類,50
1-2,女性,藻類,10
1-2,女性,果実類,100
1-2,女性,穀物,90
3-5,男性,乳類,300
3-5,男性,チーズ,5
3-5,男性,卵類,50
3-5,男性,肉類,25
3-5,男性,魚介類,25
3-5,男性,豆類,40
3-5,男性,野菜類,100
3-5,男性,いも及びでん粉類,50
3-5,男性,きのこ類,50
3-5,男性,藻類,10
3-5,男性,果実類,100
3-5,男性,穀物,170
3-5,女性,乳類,300
3-5,女性,チーズ,5
3-5,女性,卵類,50
3-5,女性,肉類,25
3-5,女性,魚介類,25
3-5,女性,豆類,40
3-5,女性,野菜類,100
3-5,女性,いも及びでん粉類,50
3-5,女性,きのこ類,50
3-5,女性,藻類,10
3-5,女性,果実類,100
3-5,女性,穀物,140
6-7,男性,乳類,300
6-7,男性,チーズ,5
6-7,男性,卵類,50
6-7,男性,肉類,50
6-7,男性,魚介類,50
6-7,男性,豆類,60
6-7,男性,野菜類,200
6-7,男性,いも及びでん粉類,50
6-7,男性,きのこ類,50
6-7,男性,藻類,10
6-7,男性,果実類,100
6-7,男性,穀物,210
6-7,女性,乳類,300
6-7,女性,チーズ,5
6-7,女性,卵類,50
6-7,女性,肉類,40
6-7,女性,魚介類,40
6-7,女性,豆類,60
6-7,女性,野菜類,200
6-7,女性,いも及びでん粉類,50
6-7,女性,きのこ類,50
6-7,女性,藻類,10
6-7,女性,果実類,100
6-7,女性,穀物,170
8-9,男性,乳類,350
8-9,男性,チーズ,10
8-9,男性,卵類,50
8-9,男性,肉類,55
8-9,男性,魚介類,55
8-9,男性,豆類,80
8-9,男性,野菜類,290
8-9,男性,いも及びでん粉類,50
8-9,男性,きのこ類,50
8-9,男性,藻類,10
8-9,男性,果実類,150
8-9,男性,穀物,250
8-9,女性,乳類,350
8-9,女性,チーズ,10
8-9,女性,卵類,50
8-9,女性,肉類,50
8-9,女性,魚介類,50
8-9,女性,豆類,80
8-9,女性,野菜類,290
8-9,女性,いも及びでん粉類,50
8-9,女性,きのこ類,50
8-9,女性,藻類,10
8-9,女性,果実類,150
8-9,女性,穀物,230
10-11,男性,乳類,400
10-11,男性,チーズ,10
10-11,男性,卵類,50
10-11,男性,肉類,65
10-11,男性,魚介類,65
10-11,男性,豆類,80
10-11,男性,野菜類,290
10-11,男性,いも及びでん粉類,100
10-11,男性,きのこ類,50
10-11,男性,藻類,10
10-11,男性,果実類,150
