classification,ingredient,energy,water,protein,lipid,carbohydrate,unit,yomi
穀物,あわ,346,13.3,11.2,4.4,69.7,"大さじ,小さじ",あわ
穀物,うどん,249,33.5,6.1,0.6,56.8,"玉,g",うどん
穀物,そうめん・ひやむぎ,333,12.5,9.5,1.1,72.7,"束,g",そうめん・ひやむぎ
穀物,餃子の皮,275,32,9.3,1.4,57,枚,ぎょうざのかわ
穀物,パン粉,277,35,11,5.1,47.6,"cc,g",ぱんこ
穀物,ピザ生地,265,35.3,9.1,3,51.1,g,ぴざ
穀物,春巻きの皮,288,26.7,8.3,1.6,62.2,枚,はるまき
穀物,冷麺,249,36.4,3.9,0.7,57.6,玉,れいめん
穀物,クロワッサン,406,20,6.5,20.4,51.5,個,くろわっさん
穀物,コッペパン,273,30.6,9.2,3.8,54.7,個,こっぺぱん
穀物,ナン,257,37.2,10.3,3.4,47.6,枚,なん
穀物,バンズ,274,32.9,10.4,4.8,50.6,個,ばんず
穀物,フランスパン,289,30,9.4,1.3,57.5,個,ふらんすぱん
穀物,ベーグル,270,32.3,9.6,2,54.6,個,べーぐる
穀物,食パン,248,39.2,8.9,4.1,46.4,枚,しょくぱん
穀物,生ふ,161,60,12.7,0.8,26.2,g,なまふ
穀物,マカロニ・スパゲティ,347,11.3,12.9,1.8,73.1,g,まかろにすぱげてぃ
穀物,生パスタ,232,42,7.8,1.9,46.9,g,なまぱすた
穀物,小麦,329,12.5,10.8,3.1,72.1,g,こむぎ
穀物,強力粉,337,14.5,11.8,1.5,71.7,g,きょうりきこ
穀物,中力粉,337,14,9,1.6,75.1,g,ちゅうりきこ
穀物,薄力粉,349,14,8.3,1.5,75.8,g,はくりきこ
穀物,中華麺,249,33,8.6,1.2,55.7,玉,ちゅうかめん
穀物,ビーフン,360,11.1,7,1.6,79.9,g,びーふん
穀物,ライスペーパー,339,13.2,0.5,0.3,84.3,枚,らいすぺーぱー
穀物,米粉,356,11.1,6,0.7,81.9,g,こめこ
穀物,お餅,223,44.5,4,0.6,50.8,個,おもち
穀物,白玉粉,347,12.5,6.3,1,80,g,しらたまこ
穀物,玄米,346,14.9,6.8,2.7,74.3,合,げんまい
穀物,精白米,113,71.5,1.8,0.3,26.4,合,せいはくまい
穀物,おこめ,157,60,3.5,0.3,36.1,g,おこめ
穀物,そば　生,271,33,9.8,1.9,54.5,g,ソバ
穀物,そば　乾麺,344,14,14,2.3,66.7,g,ソバ
穀物,コーンフレーク,380,4.5,7.8,1.7,83.6,g,こーんふれーく
いも及びでん粉類,さつまいも,127,64.6,0.9,0.5,33.1,"本,g",サツマイモ
いも及びでん粉類,里芋,53,84.1,1.5,0.1,13.1,"個,g",さといもサトイモ
いも及びでん粉類,自然薯,118,68.8,2.8,0.7,26.7,g,じぜんじょジネンジョ
いも及びでん粉類,長いも,64,82.6,2.2,0.3,13.9,g,ながいもナガイモ
いも及びでん粉類,しらたき,7,96.5,0.2,0,3,g,シラタキ
いも及びでん粉類,板こんにゃく,5,97.3,0.1,0,2.3,枚,イタコンニャク
いも及びでん粉類,ジャガイモ,51,81.1,1.8,0.1,15.9,"個,g",じゃがいも
豆類,あずき,304,14.2,20.8,2,59.6,g,アズキ
豆類,インゲン豆,280,15.3,22.1,2.5,56.4,g,いんげんまめ
豆類,えんどう,310,13.4,21.7,2.3,60.4,g,エンドウ
豆類,そら豆,323,13.3,26,2,55.9,g,ソラマメ
豆類,おから,88,75.5,6.1,3.6,13.8,g,オカラ
豆類,豆乳,43,90.8,3.6,2.8,2.3,g,トウニュウとうにゅう
豆類,大豆,354,12.5,33.5,19.3,30.1,g,だいずダイズ
豆類,がんもどき,223,63.5,15.3,17.8,1.6,個,ガンモドキ
豆類,絹ごし豆腐,56,88.5,5.3,3.5,2,丁,きぬごしどうふとうふ
