classification,seasoning,energy,water,protein,lipid,carbohydrate,unit,yomi
調味料類・だし類,あごだし,0,99.8,0.1,0,0,"大さじ,小さじ,g",アゴダシ
調味料類・しょうゆ類,薄口醤油,60,69.7,5.7,0,5.8,"大さじ,小さじ",しょうゆショウユ
調味料類・ウスターソース類,ウスターソース,117,61.3,1,0.1,27.1,"大さじ,小さじ,g",うすたーそーす
調味料類・調味ソース類,オイスターソース,105,61.6,7.7,0.3,18.3,"大さじ,小さじ,g",おいすたーそーす
香辛料類,オールスパイス,364,9.2,5.6,5.6,75.2,"大さじ,小さじ,g",おーるすぱいす
香辛料類,オニオンパウダー,363,5,8.8,1.1,79.8,"大さじ,小さじ,g",おにおんぱうだー
調味料類・ウスターソース類,お好み焼きソース,144,58.1,1.6,0.1,33.7,"大さじ,小さじ",そーす
調味料類・だし類,かつお・昆布だし,2,99.2,0.3,Tr,0.3,"大さじ,小さじ",かつおこんぶだし
調味料類・だし類,かつおだし,2,99.4,0.4,Tr,0,"大さじ,小さじ",かつおだし
香辛料類,カレー粉,338,5.7,13,12.2,63.3,"箱,個,g",かれーこ
調味料類・ルウ類,カレールー,474,3,6.5,34.1,44.7,"箱,個,g",かれーるー
香辛料類,黒コショウ,362,12.7,11,6,66.6,"大さじ,小さじ",くろこしょう
調味料類・食酢類,黒酢,54,85.7,1,0,9,"大さじ,小さじ",くろず
調味料類・しょうゆ類,濃口醤油,76,67.1,7.7,0,7.9,"大さじ,小さじ",しょうゆショウユ
調味料類・食酢類,穀物酢,25,93.3,0.1,0,2.4,"大さじ,小さじ",おす
調味料類・だし類,固形ブイヨン,233,0.8,7,4.3,42.1,"大さじ,小さじ",ぶいよん
調味料類・食酢類,米酢,46,87.9,0.2,0,7.4,"大さじ,小さじ",こめず
調味料類・だし類,昆布だし,4,98.5,0.1,Tr,0.9,"大さじ,小さじ",こんぶだし
香辛料類,さんしょう,375,8.3,10.3,6.2,69.6,"箱,個,g",サンショウ
調味料類・だし類,しいたけだし,4,98.8,0.1,0,0.9,"箱,個,g",シイタケダシ
香辛料類,シナモン,356,9.4,3.6,3.5,79.6,"箱,個,g",シナモン
香辛料類,しょうが,41,88.2,0.7,0.6,8.6,"箱,個,g",ショウガ生姜
調味料類・食塩類,食塩,0,0.1,0,0,0,"大さじ,小さじ",しょくえん
香辛料類,白コショウ,376,12.3,10.1,6.4,70.1,"大さじ,小さじ",こしょう胡椒
調味料類・しょうゆ類,たまあり醤油,111,57.3,11.8,0,15.9,"箱,個,g",しょうゆショウユ
調味料類・だし類,中華だし,3,99,0.8,0,Tr,"大さじ,小さじ",ちゅううかだし
調味料類・ウスターソース類,中濃ソース,129,60.9,0.8,0.1,30.9,"大さじ,小さじ",ちゅうのうそーす
調味料類・トマト加工品類,チリソース,112,67.3,1.8,0.1,26.3,"箱,個,g",ちりそーす
香辛料類,チリパウダー,374,3.8,15,8.2,60.1,"大さじ,小さじ",ちりぱうだー
調味料類・辛味調味料類,チリペッパーソース,58,84.1,0.7,0.5,12.8,"大さじ,小さじ",ちりぺっぱー
調味料類・調味ソース類,甜麺醤,249,37.5,8.5,7.7,38.1,"大さじ,小さじ",テンメンジャンてんめんじゃん
香辛料類,唐辛子,412,1.7,16.2,9.7,66.8,"大さじ,小さじ",とうがらしトウガラシ
調味料類・辛味調味料類,豆板醤,49,69.7,2,2.3,7.9,"大さじ,小さじ",とうばんじゃんトウバンジャン
調味料類・トマト加工品類,トマトケチャップ,104,66,1.6,0.2,27.6,"大さじ,小さじ",けちゃっぷ
調味料類・だし類,鶏がらだし,7,98.6,0.9,0.4,Tr,"大さじ,小さじ",とりがらだし
香辛料類,ナツメグ,520,6.3,5.7,38.5,47.5,"大さじ,小さじ",なつめぐ
調味料類・調味ソース類,ナンプラー,47,65.5,9.1,0.1,2.7,"大さじ,小さじ",なんぷらー
調味料類・だし類,煮干しだし,1,99.7,0.1,0.1,Tr,"大さじ,小さじ",にぼしだし
香辛料類,にんにく,170,52.1,4.7,0.5,37,"大さじ,小さじ",ニンニク
香辛料類,練りからし,314,31.7,5.9,14.5,40.1,"大さじ,小さじ",ねりカラシ
調味料類・ウスターソース類,濃厚ソース,130,60.7,0.9,0.1,30.9,"大さじ,小さじ",そーす
香辛料類,バジル,307,10.9,21.1,2.2,50.6,"大さじ,小さじ",バジル
香辛料類,パセリ,341,5,28.7,2.2,51.6,"大さじ,小さじ",パセリ
調味料類・ルウ類,ハヤシルー,501,2.2,5.8,33.2,47.5,"大さじ,小さじ",はやしるー
調味料類・食酢類,バルサミコ酢,99,74.2,0.5,0,19.4,"大さじ,小さじ",ばるさみこす
その他,ベーキングパウダー,150,4.5,Tr,1.2,29,"大さじ,小さじ",べーきんぐぱうだー
香辛料類,マスタード,175,65.7,4.8,10.6,13.1,"大さじ,小さじ",ますたーど
調味料類・みそ類,豆味噌,207,44.9,17.2,10.5,14.5,"大さじ,小さじ",まめみそ
調味料類・ドレッシング類,マヨネーズ,668,16.6,1.4,76,3.6,"大さじ,小さじ",まよねーず
調味料類・その他,みりん,225,43.6,0.1,0,55.7,"大さじ,小さじ",ミリン
調味料類・だし類,めんつゆ　三倍濃縮,98,64.9,4.5,0,20,"ml,cc",メンツユ
調味料類・だし類,めんつゆ　ストレート,44,85.4,2.2,0,8.7,"ml,cc",メンユツ
調味料類・調味ソース類,ゆずこしょう,37,64.5,1.3,0.8,9.3,"大さじ,小さじ",ユズコショウ胡椒
調味料類・だし類,洋風だし,6,97.8,1.3,0,0.3,袋,ようふうだし
調味料類・辛味調味料類,ラー油,887,0.1,0.1,99.8,Tr,"大さじ,小さじ",らーゆラーユ
調味料類・その他,料理酒,88,82.4,0.2,Tr,4.7,"大さじ,小さじ",りょうりしゅ
調味料類・食酢類,りんご酢,26,92.6,0.1,0,2.4,"大さじ,小さじ",りんごす
香辛料類,わさび,265,39.8,3.3,10.3,39.8,"大さじ,小さじ",ワサビ
調味料類・だし類,顆粒和風だし,223,1.6,24.2,0.3,31.1,"大さじ,小さじ",わふうだし
砂糖及び甘味類,はちみつ,329,17.6,0.3,0,81.9,"大さじ,小さじ,g",ハチミツ
砂糖及び甘味類,メープルシロップ,266,33,0.1,0,66.3,g,めーぷるしろっぷ
砂糖及び甘味類,水飴,210,30.1,0,0,69.9,g,みずあめ
砂糖及び甘味類,グラニュー糖,394,0,0,0,100,"大さじ,小さじ,g",ぐらにゅーとう
砂糖及び甘味類,白ざら糖,393,0,0,0,100,"大さじ,小さじ,g",しろざらとう
砂糖及び甘味類,黒砂糖,352,4.4,1.7,0,90.3,"大さじ,小さじ,g",くろざとう
砂糖及び甘味類,三温糖,390,0.9,0,0,99,"大さじ,小さじ,g",さんおんとう
砂糖及び甘味類,上白糖,391,0.7,0,0,99.3,"大さじ,小さじ,g",じょうはくとう
油脂類,無塩バター,720,15.8,0.5,83,0.2,g,むえんばたー
油脂類,有塩バター,700,16.2,0.6,81,0.2,g,ゆうえんばたー
油脂類,無塩マーガリン,715,14.7,0.4,83.1,0.5,g,まーがりん
油脂類,有塩マーガリン,715,14.7,0.4,83.1,0.5,g,まーがりん
油脂類,えごま油,897,0,0,100,0,"大さじ,小さじ,cc",えごまあぶら
油脂類,オリーブオイル,894,0,0,100,0,"大さじ,小さじ,cc",おりーぶおいる
油脂類,ごま油,890,0,0,100,0,"大さじ,小さじ,cc",ごまあぶら
油脂類,なたね油,887,0,0,100,0,"大さじ,小さじ,cc",なたねあぶら
油脂類,パーム油,887,0,0,100,0,"大さじ,小さじ,cc",ぱーむゆあぶら
乳類,クリーム,404,48.2,1.9,43,6.5,g,くりーむ
乳類,ホイップクリーム,409,44.3,1.8,40.7,12.9,g,ほいっぷくりーむ
乳類,カテージチーズ,99,79,13.3,4.5,1.9,g,かてーじちーず
乳類,カマンベールチーズ,291,51.8,19.1,24.7,0.9,g,かまんべーるちーず
乳類,チェダーチーズ,390,35.3,25.7,33.8,1.4,g,ちぇだーちーず
乳類,パルメザンチーズ,445,15.4,44,30.8,1.9,g,ぱるめざんちーず
乳類,マスカルポーネチーズ,273,62.4,4.4,28.2,4.3,g,ますかるぽーね
乳類,モッッツアレラチーズ,269,56.3,18.4,19.9,4.2,g,もっつぁれら
乳類,プロセスチーズ,313,45,22.7,26,1.3,g,ぷろせすちーず
乳類,加工乳,70,86.3,3.4,4.2,5.3,ml,かこうにゅう
乳類,牛乳,61,87.4,3.3,3.8,4.8,ml,ぎゅうにゅう
その他,水,0,0,0,0,0,"g,ml,大さじ,小さじ",みず
